action	Action
fps	FPS
multiplayer	Multiplayer
shooter	Shooter
classic	Classic
teambased	Team-Based
firstperson	First-Person
competitive	Competitive
tactical	Tactical
1990s	1990's
esports	eSports
pvp	PvP
old_school	Old School
military	Military
strategy	Strategy
masterpiece	Masterpiece
survival	Survival
score_attack	Score Attack
1980s	1980s
assassin	Assassin
classbased	Class-Based
coop	Co-op
fastpaced	Fast-Paced
retro	Retro
online_coop	Online Co-Op
violent	Violent
remake	Remake
mod	Mod
funny	Funny
adventure	Adventure
world_war_ii	World War II
war	War
historical	Historical
singleplayer	Singleplayer
difficult	Difficult
world_war_i	World War I
free_to_play	Free to Play
arena_shooter	Arena Shooter
scifi	Sci-fi
gore	Gore
aliens	Aliens
atmospheric	Atmospheric
story_rich	Story Rich
silent_protagonist	Silent Protagonist
great_soundtrack	Great Soundtrack
puzzle	Puzzle
moddable	Moddable
cyberpunk	Cyberpunk
space	Space
platformer	Platformer
memes	Memes
conspiracy	Conspiracy
3d	3D
psychological_horror	Psychological Horror
cult_classic	Cult Classic
sports	Sports
linear	Linear
open_world	Open World
simulation	Simulation
dark	Dark
zombies	Zombies
short	Short
dystopian	Dystopian 
physics	Physics
horror	Horror
sandbox	Sandbox
realistic	Realistic
massively_multiplayer	Massively Multiplayer
comedy	Comedy
futuristic	Futuristic
benchmark	Benchmark
postapocalyptic	Post-apocalyptic
episodic	Episodic
cinematic	Cinematic
female_protagonist	Female Protagonist
science	Science
dark_humor	Dark Humor
cartoony	Cartoony
trading	Trading
robots	Robots
cartoon	Cartoon
crafting	Crafting
replay_value	Replay Value
survival_horror	Survival Horror
local_coop	Local Co-Op
moba	MOBA
rts	RTS
tower_defense	Tower Defense
fantasy	Fantasy
rpg	RPG
character_customization	Character Customization
action_rpg	Action RPG
topdown	Top-Down
topdown_shooter	Top-Down Shooter
third_person	Third Person
pve	PvE
thirdperson_shooter	Third-Person Shooter
indie	Indie
fighting	Fighting
hacking	Hacking
realtime_with_pause	Real-Time with Pause
2d	2D
experimental	Experimental
addictive	Addictive
roguelike	Rogue-like
perma_death	Perma Death
wargame	Wargame
cold_war	Cold War
diplomacy	Diplomacy
naval	Naval
submarine	Submarine
4x	4X
turnbased_strategy	Turn-Based Strategy
turnbased	Turn-Based
turnbased_tactics	Turn-Based Tactics
turnbased_combat	Turn-Based Combat
isometric	Isometric
tactical_rpg	Tactical RPG
dark_fantasy	Dark Fantasy
gothic	Gothic
tanks	Tanks
underground	Underground
